Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
28-01-05,80.75,82.55,80.5,82.4,82.25,12679306,10369.84
31-01-05,82.5,87,82.5,86.6,86.5,28705101,24386.63
01-02-05,87,90.6,85.3,89.05,89.15,43321175,38260.97
02-02-05,89.5,91.25,88.95,89.9,89.75,28553839,25720.27
03-02-05,90.2,92.4,90.2,92.35,91.85,18312983,16724.5
04-02-05,92.45,92.9,90.25,91.65,91.75,21712644,19881.72
07-02-05,93.4,93.7,91.9,92.6,92.6,18248140,16968.46
08-02-05,93,93.2,91,91.6,91.35,12447419,11461.81
09-02-05,91.9,92.45,91.2,92,91.95,9024452,8303.84
10-02-05,93.8,93.8,91.25,92.15,92.05,9357643,8620.35
11-02-05,92.45,92.95,91.85,92.25,92.15,6297522,5821.88
14-02-05,92.7,93,91.75,92,92.05,5843033,5398.37
15-02-05,92.3,93.45,91.3,92.65,92.65,16336677,15106.56
16-02-05,93,93.4,91.85,92.25,92.1,11935299,11063.62
17-02-05,92,92.85,91.2,92.75,92.4,10813254,9943.57
18-02-05,92.7,94.3,92.55,93.45,93.3,13436509,12574.42
21-02-05,93.55,94.1,92,92.05,92.4,7603625,7064.89
22-02-05,92.55,92.75,91.9,92.6,92.65,6443985,5953.5
23-02-05,93,95.2,92,94.65,94.9,14588120,13711.98
24-02-05,95.5,95.5,93.35,94.05,93.85,15271545,14403.08
25-02-05,93.95,93.95,92.1,92.3,92.5,7792264,7244.54
28-02-05,92.75,93.8,92.3,92.95,93,9479280,8829.87
01-03-05,93.5,93.5,92.4,93.05,93,5090523,4727.7
02-03-05,92.85,94,92.85,93.3,93.4,4197770,3923.28
03-03-05,93.45,94.15,93.35,93.9,93.95,3952961,3710.68
04-03-05,94.15,94.85,93.65,93.9,93.95,6198037,5845.25
07-03-05,94.05,94.6,91.9,92.15,92.2,11415157,10594.17
08-03-05,93.5,94.25,91.8,93.9,93.9,8477220,7926.57
09-03-05,94.25,94.4,91.9,92.5,92.5,6894116,6399.68
10-03-05,92.7,93.2,92.1,93,93.05,4309851,4002.26
11-03-05,93.4,94,93,93.25,93.5,5801161,5421.99
14-03-05,93.4,93.7,92.55,92.95,93,2856688,2656
15-03-05,93.2,93.8,91.6,91.65,91.75,4357954,4027.03
16-03-05,91.95,92.45,91.1,91.15,91.35,2450303,2250.88
17-03-05,91.5,91.5,89.55,89.8,90.05,2634274,2387.87
18-03-05,90,90.4,87.35,89.75,89.7,4959130,4414.15
21-03-05,89.9,89.95,88,88.05,88.15,2105416,1870.66
22-03-05,88.3,88.9,85.3,85.5,85.7,5221374,4523.05
23-03-05,95.5,95.5,83.25,83.5,83.95,6341676,5395.32
24-03-05,83.5,84.9,83,84.6,84.1,5291887,4439.38
28-03-05,85.4,86.65,84.2,86.3,86.1,5647191,4849.89
29-03-05,86.95,86.95,84.2,84.85,84.75,5317918,4539.76
30-03-05,85.4,86,84.35,85.1,85.35,4155098,3540.85
31-03-05,85.75,86.45,84.9,85.1,85.3,6316654,5412.42
01-04-05,99,99,85.2,87.8,87.6,4402210,3809.87
04-04-05,87.55,89.9,85.7,85.95,86,5993488,5209.89
05-04-05,86.8,86.8,83.9,85.95,85.95,6365239,5433.72
06-04-05,86,86,84.5,85.15,85,4279926,3650.66
07-04-05,85,85.85,84.6,85.1,85.05,2911224,2485.85
08-04-05,85.5,86.15,85,85.7,85.85,8855329,7581.11
11-04-05,86,86,84.2,85.1,85,3119292,2648.99
12-04-05,85.25,85.65,84.55,85.5,85.5,2285549,1945.24
13-04-05,85.75,86.35,85,85.8,86.1,7745166,6645.97
15-04-05,85.5,85.5,83.6,83.6,84,5867194,4951.1
18-04-05,83,83.75,80,83.05,83.05,4844762,4011.63
19-04-05,83.45,84.5,83,83.5,83.4,3493614,2929.82
20-04-05,83.6,84.95,83.05,84.95,84.55,3223562,2702.47
21-04-05,84.9,85.5,83.5,85.2,85.25,1792216,1518.65
22-04-05,85.35,85.75,84.75,85.05,85.1,1853175,1579.08
25-04-05,85.1,86,84.85,85.95,85.95,2192387,1876.07
26-04-05,85.9,86.25,85.35,85.55,85.75,3381779,2904.38
27-04-05,85,85.85,84.05,84.2,84.5,2262927,1919.42
28-04-05,84.5,84.5,80.75,81.5,81.6,12621932,10352.97
29-04-05,81.55,83,81.4,82.25,82.15,5783430,4745.76
02-05-05,82.4,82.7,81.15,82.15,82.1,2312968,1896.19
03-05-05,82.45,82.45,81.65,82.1,82.05,1568480,1287.41
04-05-05,82.25,82.6,81.9,82.1,82.05,2310733,1901.66
05-05-05,82.4,83.35,82.3,82.6,82.6,2441563,2023.04
06-05-05,82.6,83.2,82.3,83.2,83,1767343,1465.56
09-05-05,83,84.55,83,84.35,84.3,3834589,3224.7
10-05-05,84.9,85.55,84.4,85,84.8,4125541,3510.72
11-05-05,85.4,86,84,84.85,84.95,4076923,3475.38
12-05-05,85,85.5,84.5,84.6,84.7,1840433,1564.25
13-05-05,84.5,84.95,83.7,84.7,84.6,1714980,1445.71
16-05-05,85,85.5,84.55,85.35,85.1,2732091,2325.4
17-05-05,84.6,85.5,83.5,83.55,83.8,1162316,980.96
18-05-05,83.9,84.7,83.25,84.5,84.35,1886022,1588.58
19-05-05,84.7,84.95,84,84.15,84,776353,654.43
20-05-05,84,84.25,83.35,84,83.8,1595744,1336.62
23-05-05,84,84.45,83.6,84.05,84.1,1209699,1016.78
24-05-05,84.5,84.5,83.7,83.7,83.85,1175671,987.89
25-05-05,83.85,84.4,81.25,83.9,84,1253686,1053.82
26-05-05,84.15,84.15,82.05,82.9,82.45,9247144,7656.13
27-05-05,83,84.1,82.8,83.1,83.1,3758918,3133.84
30-05-05,83.9,83.9,82.45,83,82.8,1331274,1103.87
31-05-05,83.8,83.8,82.75,83.75,83.5,1987362,1653.54
01-06-05,83.3,83.9,83.3,83.65,83.55,1578917,1320.08
02-06-05,83.9,84.2,82.2,82.5,82.35,1773982,1469.39
03-06-05,82.35,83.35,82.3,83.2,83.2,2450661,2032.07
04-06-05,83.25,83.5,82.75,83,82.85,275895,228.83
06-06-05,83.4,87.7,83.1,85.7,85.65,12371068,10645.97
07-06-05,87.1,87.1,85.75,86.15,86,3060233,2639.5
08-06-05,86.5,87.1,85.9,86.45,86.55,2891558,2502.85
09-06-05,86.75,87,85.75,85.95,85.9,1986103,1710.16
10-06-05,86.5,86.65,85.2,85.6,85.6,2345354,2013.53
13-06-05,86.4,86.4,84.7,85.05,85,2439855,2082.7
14-06-05,85.9,85.9,82.8,83,83,4818047,4037.77
15-06-05,83.05,84.2,83.05,83.9,83.75,1700237,1426.66
16-06-05,83.85,84.15,82.8,82.95,82.9,1056710,879.61
17-06-05,83.25,83.25,82.5,83,82.95,1964282,1627.25
20-06-05,83.9,83.9,82.55,83,82.95,1424680,1180.64
21-06-05,83,83.25,82,82.8,82.95,1936763,1606.86
22-06-05,83.5,84.95,83,84.5,84.2,4438523,3720.47
23-06-05,84.5,85.7,84.1,84.15,84.35,3911960,3316.41
24-06-05,84.1,86,83.5,85.6,85.55,3592740,3066.53
27-06-05,83.25,86.45,83.25,84.2,84.7,3634790,3112.15
28-06-05,84.85,84.85,82.55,82.75,82.85,2730209,2277.82
29-06-05,83.1,84.15,82.85,84,83.95,2233851,1867.29
30-06-05,84.1,84.6,82.6,83.5,83,5021794,4202.27
01-07-05,83.5,85.7,83.25,85,85,3383480,2871.54
04-07-05,85.8,87.9,85.25,87.1,87.25,6194366,5392.6
05-07-05,88,88.25,85.55,86.2,86.1,5279057,4587.15
06-07-05,86.6,89.8,86.4,89.3,89.3,11077226,9808.9
07-07-05,89.75,90.25,86.5,87.5,87.2,6563226,5828.33
08-07-05,87.95,89.15,87.4,88.5,88.75,3440799,3042.6
11-07-05,89.75,91.25,89.2,90.25,90,6406809,5778.78
12-07-05,90.65,90.7,89.1,90.35,90.25,4112673,3697.63
13-07-05,90.75,91,89.5,89.65,90,3560374,3217.75
14-07-05,90.4,91.9,89,91.1,91.55,6360589,5749.1
15-07-05,90.05,92.25,90.05,91.6,91.95,5634055,5150.08
18-07-05,92.25,92.35,91.5,92.1,91.95,3035758,2793.25
19-07-05,91.1,92.5,91.1,92.1,92,3271612,3008.35
20-07-05,92.5,93.5,91.95,92.45,92.2,2696868,2496.99
21-07-05,92.75,93,90.9,92.25,92.1,6469948,5949.75
22-07-05,82.95,93,82.95,92.3,92.7,2244173,2072.85
25-07-05,92.95,97.9,92.6,97.35,97.25,14646923,13991.8
26-07-05,97.25,97.4,94.5,94.75,94.95,5313989,5085.12
27-07-05,95.35,95.5,93.7,94.1,94.3,2884143,2732.06
29-07-05,95.15,95.85,92.05,94,93.8,12889345,12197.66
01-08-05,94.3,98.7,93.2,98.4,98.4,10006119,9709.15
02-08-05,99,100.25,98.1,98.6,98.95,6530036,6474.24
03-08-05,99.9,99.9,96.5,96.5,96.9,4531829,4431.9
04-08-05,96.9,98,95.8,95.85,96.1,4866405,4710.13
05-08-05,96.25,97.4,95.6,96.4,96.5,3731690,3615.36
08-08-05,96.55,97.25,95.25,97.05,96.75,5111985,4926.12
09-08-05,97.25,98.2,96.5,97.3,97.75,8853558,8647.8
10-08-05,97,98,95,96.65,96.7,4042381,3916.14
11-08-05,97.9,97.9,96.7,97.2,97.05,3551314,3448.41
12-08-05,97.05,97.5,95.7,95.8,96.15,2918173,2808.41
16-08-05,100,100,96.05,96.9,96.95,4910026,4752.94
17-08-05,96.3,97.25,95.75,96.85,96.95,3413843,3302.45
18-08-05,97.25,98.05,96.85,97,97.4,5772397,5617.23
19-08-05,97.7,98,96.25,96.5,96.85,3622405,3523.41
22-08-05,97,97.9,95.9,96.45,96.8,2708682,2623.38
23-08-05,97,97.1,95.7,96.7,96.8,3079420,2977.04
24-08-05,95.7,96.8,93.8,96.05,96.3,3110533,2995.23
25-08-05,96,98.45,96,97.3,96.95,6473196,6288.48
26-08-05,98.1,99.45,98.05,99.2,99.1,5866209,5795.07
29-08-05,99.1,99.85,98.05,99.05,99.1,3180961,3148.54
30-08-05,99.85,102.15,98.85,101.75,101.8,7089753,7159.46
31-08-05,101.8,102.65,100.85,101.6,102.05,4476869,4561.38
01-09-05,102.5,104.25,101.6,103.8,103.9,5176514,5336.3
02-09-05,103.8,104.3,102.5,103.25,103.65,3885627,4025.2
05-09-05,104.15,104.8,103.2,103.55,103.5,3069476,3188.71
06-09-05,103.6,104,102.55,102.75,103.15,1317690,1358.82
08-09-05,102,103.75,101.55,103.35,103.4,3372467,3473.67
09-09-05,103.3,103.3,102.1,102.55,102.65,1433632,1472.71
12-09-05,102.5,103.85,102.15,103.45,103.45,2170096,2242.63
13-09-05,103,103.8,101.85,102.75,103,1275265,1308.97
14-09-05,102.6,105.25,101.75,102.4,102.45,4600724,4766.55
15-09-05,102.95,103.7,101.75,102.1,102.3,1986059,2035.96
16-09-05,102.6,105,102.1,103.7,104.1,5883068,6126.66
19-09-05,104,104.95,102.35,102.6,102.55,3951482,4073.52
20-09-05,102.6,103.95,102.1,103.6,103.6,3381643,3490.25
21-09-05,104,109.15,99,107.2,108,8479518,8911.87
22-09-05,107.5,108.45,102.1,103,102.95,4142246,4341.03
23-09-05,103,105,101.3,102.25,102.3,2803406,2883.42
26-09-05,103,107.35,103,106.7,106.85,2610044,2757.98
27-09-05,107,107.75,104.55,106,105.95,2067354,2194.1
28-09-05,105.55,109.75,105.5,109,109.2,5011499,5444.69
29-09-05,109,109.5,106.25,108.05,107.65,2307191,2487.16
30-09-05,106,108.4,104.75,105.75,105.95,2688280,2850.74
03-10-05,106.95,107,105.3,105.9,105.95,2975820,3153.99
04-10-05,106,107,105.3,106.85,106.6,5865476,6226.45
05-10-05,109,109.15,106.5,107.6,107.95,5517403,5971.44
06-10-05,107,110,106.05,107.6,107.95,7663873,8302.84
07-10-05,108.9,109.75,107.1,107.3,107.4,2709530,2931.2
10-10-05,107.9,108,105.2,105.3,105.6,2544762,2700.66
11-10-05,106.3,106.65,104.5,105.2,105.2,2797673,2945.94
13-10-05,105.3,105.45,102.6,102.95,103.1,1712429,1787.98
14-10-05,105.6,105.6,102.25,102.75,102.65,2688190,2772.26
17-10-05,104.5,104.5,100.3,100.9,101.05,1946699,1975.98
18-10-05,104.5,105,97.5,97.55,98.75,2601179,2620.33
19-10-05,99,100.75,95,97.85,97.7,4091535,4032.3
20-10-05,98,101.8,97.15,98.55,98.6,4309457,4258.75
21-10-05,99,99,94.6,98.2,97.8,5005485,4852.67
24-10-05,98,98.85,96,96.5,97.4,3620284,3541.9
25-10-05,97.65,99.5,96.3,98.7,98.85,3745882,3686.24
26-10-05,97.8,99.15,95.15,96.1,95.9,3484942,3373.07
27-10-05,96.5,98.2,92.75,93,93.8,9982271,9579.17
28-10-05,93.1,94.9,91.8,94.35,94.2,4756899,4438.73
31-10-05,94.35,97.5,94.05,97.25,97.15,2375835,2281.58
01-11-05,98,99.4,96.6,96.8,97.15,590996,575.97
02-11-05,97,98,95.95,97.4,97.5,2039250,1979.39
07-11-05,97.5,100.25,97.45,98.25,98.05,2082434,2042.8
08-11-05,98.8,104.25,98.05,101.9,102.25,10497388,10719.71
09-11-05,102.3,103.55,99.05,99.9,99.85,4477316,4520.04
10-11-05,100.5,101.75,99.6,100.15,100.05,2528558,2541.64
11-11-05,101,104.5,100.6,104,104.05,5693662,5878.83
14-11-05,104.5,105,102.9,103.9,103.95,1315964,1365.41
16-11-05,103.25,104.85,103.25,103.4,103.55,1343686,1396.97
17-11-05,104,104.9,103.25,104.2,104.05,969539,1007.21
18-11-05,104.1,105.5,101.8,102.9,102.5,4595076,4749.81
21-11-05,103.2,105.1,101.2,104,104.1,4701111,4870.96
22-11-05,104.1,104.4,102.5,103.4,103.5,1748508,1814.22
23-11-05,103,104.5,102,102.6,102.8,2041123,2102.09
24-11-05,102,103.95,102,102.65,102.55,1303707,1341.5
25-11-05,102.7,103.8,102.6,103,103.1,1482859,1529.26
26-11-05,103.2,106.6,103.2,105.4,105.75,2247403,2374.67
28-11-05,106.25,107.75,105.75,106.75,107.05,3924169,4191.52
29-11-05,107.5,107.75,104.15,105.1,105.05,1782270,1877.07
30-11-05,105.45,106.45,103.85,104.2,104.25,2019550,2123.53
01-12-05,104.95,105.9,103.7,104.7,104.85,1906589,1993.01
02-12-05,105,106,103.5,104,103.85,1285478,1347.96
05-12-05,101.4,104.9,101,102.8,102.75,1101804,1137.05
06-12-05,103,104.15,102.25,103.25,103.1,2050277,2113.41
07-12-05,103.1,105.3,102.9,104.35,104.35,4054320,4224.01
08-12-05,104.85,104.95,102.8,104,103.6,2286893,2371.36
09-12-05,104.45,105.75,103.65,105.05,105.55,2138937,2248.36
12-12-05,105.75,107.2,104.8,106.4,106.85,3030367,3226.94
13-12-05,106.9,107.7,105.65,106.7,106.9,2475286,2643.81
14-12-05,106.8,109,106,108.35,108.3,3954616,4252.57
15-12-05,108.85,108.95,105.5,105.8,105.85,909158,976.16
16-12-05,106,107.3,105.05,106.6,106.7,2233514,2370.19
19-12-05,107.05,107.1,105.2,105.9,105.95,2015160,2149.23
20-12-05,105.5,111.75,105.5,111.2,110.75,9586621,10523.91
21-12-05,111.9,111.9,109.1,111.5,111.05,4722553,5233.23
22-12-05,111.5,113.5,110.3,113.4,113,5247171,5876.82
23-12-05,113.5,113.9,107.25,107.55,108.1,4211622,4642.3
26-12-05,108,108.25,105.55,105.8,105.9,3219641,3439.82
27-12-05,105.9,108.5,105.1,108.2,108.25,1103891,1187.14
28-12-05,108.5,111.25,107.45,110.2,110.2,3503210,3840.83
29-12-05,110.2,111.6,109.35,110.6,110.15,3969687,4386.09
30-12-05,110.1,112.55,109.1,111.65,112,3236805,3615.42
02-01-06,112.4,112.45,110.5,110.75,111,435719,486.04
03-01-06,111,112.4,110.5,112,112.1,554934,620.07
04-01-06,112.4,115.8,112.25,115.25,115.1,3898055,4472.54
05-01-06,115,117.1,113.1,114.2,114.05,2643348,3041.95
06-01-06,114.5,115.25,113.6,114.1,114.25,904571,1034.8
09-01-06,118,118,113.8,113.9,114.25,5591247,6416.76
10-01-06,114.5,117.25,114,115.8,115.9,3031354,3492.9
12-01-06,117.1,117.8,114.3,116.15,116.45,3487628,4052.63
13-01-06,116.9,117.5,115.1,115.5,115.6,2744768,3200.78
16-01-06,116,116.15,113.25,113.5,113.7,1130709,1294.29
17-01-06,114.25,114.65,110.5,111.1,111.2,3323984,3751.33
18-01-06,111,112,109.25,110,110.2,2405371,2662.73
19-01-06,110.2,113.5,110.2,113.1,113,1302535,1466.88
20-01-06,113.2,114.2,112.2,112.5,112.45,1283354,1451.87
23-01-06,112.25,113.2,111.8,112,112,845996,948.78
24-01-06,113.2,113.65,112,113.65,113.1,2067662,2334.47
25-01-06,113.2,113.9,110.95,112.25,111.95,1581583,1780.03
27-01-06,113,115.75,112.85,113.9,114,4721445,5406.32
30-01-06,116,116,112.55,112.8,112.95,1997142,2270.55
31-01-06,114.1,116.9,113.5,115.1,114.5,11007612,12605.09
01-02-06,115.3,117.5,114.65,116.4,115.9,3693299,4298.54
02-02-06,115.2,116.65,114.6,115,115.1,867101,1000.74
03-02-06,114.9,118.7,114.9,117.95,117.85,3989328,4684.8
06-02-06,118,120.15,118,118.35,118.4,3222525,3839.71
07-02-06,119,120.2,118.9,119.4,119.9,2275574,2724.26
08-02-06,119.9,122.75,119,121.85,122.25,4675143,5672.07
10-02-06,122.25,122.9,120.65,120.9,121.2,3233064,3927.24
13-02-06,121.05,121.05,115.15,119.75,119.95,2136048,2552.18
14-02-06,119.75,120.1,118,118.7,118.5,2624406,3121.5
15-02-06,118.5,124.8,118.5,124,124.1,10116010,12411.84
16-02-06,118.5,125.95,118.5,124.05,124.5,4005749,4978.24
17-02-06,124.75,125.65,121.1,121.5,121.95,4015515,4975.81
20-02-06,122,123.2,121,123,122.8,2739944,3357.66
21-02-06,123,124.65,122.55,123,122.9,2231381,2756.22
22-02-06,123,130.9,122.75,129.8,129.65,5809257,7359.25
23-02-06,129.7,134.8,128.4,131.45,131.2,11382169,15053.34
24-02-06,131,134.3,131,132.6,132.7,3514243,4658.65
27-02-06,133.5,134.05,132.2,133.75,133.65,4038916,5377.61
28-02-06,134.05,135,130,130.75,131.15,5820153,7728.68
01-03-06,132.5,133.5,130.55,133,133,3394938,4485.44
02-03-06,133.5,135.75,131.25,131.65,132.35,5797482,7760.34
03-03-06,132,133.65,130.65,131,131.1,2824970,3723.84
06-03-06,132,137.15,132,136.25,136.1,7294771,9859.43
07-03-06,136.5,139.8,136.5,137.9,138,7324221,10124.11
08-03-06,137.4,138.55,133.05,134.2,134.1,6238835,8512.05
09-03-06,134.5,136.5,133,135.7,135.8,2158898,2919.08
10-03-06,136.8,138.35,136.1,137.2,136.95,2214535,3037.74
13-03-06,137.9,142,137.05,139.75,139.4,4262144,5960.28
14-03-06,140.1,141.25,137,138,137.9,2543930,3541.48
16-03-06,140,140,135.15,136.25,135.95,4326007,5916.72
17-03-06,135.1,138.9,135.1,137.6,137.25,2284235,3140.8
20-03-06,138,138.9,137.15,137.9,137.7,2909472,4008.81
21-03-06,138.25,140.8,137.75,138.25,138.15,4089278,5699.58
22-03-06,138,138.3,136.35,137,137,4821735,6616.95
23-03-06,138,138,134.9,135.2,135.75,5058398,6912.4
24-03-06,136.5,137.25,135.05,135.2,135.55,3770222,5134.3
27-03-06,137.35,137.9,136,136.75,136.85,2762042,3787.78
28-03-06,137.8,137.8,135.3,135.8,135.8,2901898,3969.8
29-03-06,136,136.5,134.7,135.35,135.25,1550061,2098.63
30-03-06,135.5,136.45,132.5,133,133.05,3853897,5154.3
31-03-06,133.6,135.85,133.5,134.25,134.1,4505945,6075.22
03-04-06,135.85,137.25,135,135.5,135.4,4129290,5608.09
04-04-06,136,138.55,136,136.9,136.8,7042477,9656.71
05-04-06,138,139.7,137.15,139,138.95,3695003,5123.7
07-04-06,140,142.6,137,137.65,137.85,9743689,13615.15
10-04-06,142.6,142.6,136.25,137.1,136.95,3414642,4682.1
12-04-06,138,140.1,135.6,135.65,136.3,5902524,8146.57
13-04-06,137,139.6,127.5,137.15,137.95,7483996,10102.38
17-04-06,138.1,140,137.6,138.15,138,10580214,14659.72
18-04-06,138.5,140.45,138,139.65,139.6,3292916,4582.33
19-04-06,140,144.25,140,142.5,142.7,6121717,8718.64
20-04-06,140.55,144.9,138.2,138.8,139.2,7128952,10086.78
21-04-06,139.15,140,134.85,135.95,135.95,3263332,4455.16
24-04-06,136,137.35,133.5,133.65,134.05,5235218,7057.1
25-04-06,133,134,127.8,128.5,128.5,7086773,9262.45
26-04-06,130.9,131.7,128.7,131.15,131.1,2696671,3524.11
27-04-06,131.7,132.7,129,129.6,129.4,4636741,6058.25
28-04-06,128.35,136.5,121.1,136,135.8,5648788,7455.63
29-04-06,136.1,137.35,135.7,135.85,136.05,818863,1116.08
02-05-06,135,139,134.6,135,135.05,2002523,2723.37
03-05-06,136.2,136.8,134.45,135.25,135,2371004,3214.26
04-05-06,136,136.9,131.9,132.6,132.55,2591708,3470.25
05-05-06,133,134.8,132.2,132.75,132.5,1566588,2085.41
08-05-06,133,133.95,130,131,130.55,7862798,10311.14
09-05-06,132.5,132.5,128.05,129.6,129.4,11157944,14464.74
10-05-06,131,131.95,129.2,129.75,129.6,6997500,9127.89
11-05-06,131.05,131.45,128.5,129,129.1,2398641,3120.58
12-05-06,129,132.25,127.5,131.35,131,4885801,6390.63
15-05-06,131,132.5,126.65,127.6,128.7,3840230,4971.67
16-05-06,129.75,132.6,121.1,132.25,131,7823445,9925.28
17-05-06,131.9,133.9,129.8,131,130.55,4713612,6167.05
18-05-06,129.8,129.8,122,122.8,123.75,5073203,6384.84
19-05-06,127,129,114.55,122.5,118.2,5100281,6158.56
22-05-06,122,122.85,85.1,112.3,111.55,11434902,12544.86
23-05-06,113,119,102.1,116.7,117.15,5490507,6285.63
24-05-06,117,123.4,114.5,118.55,118.85,10887511,12936.9
25-05-06,119,124.5,114,116.85,117.8,3782606,4449.96
26-05-06,117.5,121.1,116.1,117.15,117.25,5600855,6642.33
29-05-06,114.05,118.9,113.3,114.2,114.2,3711365,4290.5
30-05-06,115,115.8,113.55,114.85,114.8,1888792,2170.78
31-05-06,110,113.95,110,112.6,112.4,4049940,4520.6
01-06-06,113.5,114.5,108.5,110,109.95,3735203,4167.85
02-06-06,104,112.25,104,109.85,109.95,4816656,5291.46
05-06-06,112,113.5,110,110,110.65,3141961,3507.32
06-06-06,109,109.9,104.55,105,105.6,5302921,5644.18
07-06-06,104.55,106.45,100,100,100.2,5513147,5594.97
08-06-06,100,106.9,96,99.9,100.15,11422661,11479.73
09-06-06,99,111,99,109.25,108.6,6494070,6965.5
12-06-06,110.5,110.5,105,108.5,107.25,1946287,2081.61
13-06-06,105,105.25,102.5,102.8,103.75,3246381,3371.68
14-06-06,104.4,108.5,99.75,101.25,100.8,3327611,3404.97
15-06-06,104.7,106.25,102.05,106,105.6,2427984,2526.96
16-06-06,112,112,106.25,110.75,109.55,3118860,3426.9
19-06-06,112,113.9,107.05,113,112.6,2789526,3081.31
20-06-06,108.25,112.9,108.25,112.45,111.75,1759504,1963.13
21-06-06,110.7,114.6,110.5,113.95,113.8,2780810,3163.66
22-06-06,114.25,117.4,114.25,117.4,116.85,1884495,2186.09
23-06-06,116,116.45,114.25,115.1,115.1,1433280,1649.61
25-06-06,116.9,116.9,114.55,114.55,115.35,149153,172.43
26-06-06,115,115.9,108.2,108.7,109.75,875713,981.6
27-06-06,110,111,106.3,108.15,108.2,1478362,1599.79
28-06-06,108,110.5,105.1,108.6,108.75,912281,989.36
29-06-06,108.2,110.9,105.6,107,107.05,2948278,3162.94
30-06-06,109.7,112.35,109,111.15,110.9,2259954,2499.8
03-07-06,112,113.35,110.25,111.3,111.5,3276059,3662.85
04-07-06,112,116.3,112,115.8,115.4,3852128,4397.12
05-07-06,115.5,116,113.5,115.45,115.65,1976455,2278.01
